Artist,song_album,Title,song_release_date
Grasu XXL,Drumul spre succes,Turbofin,2015-03-23
B.U.G. Mafia,Sa Cante Trompetele,Sa Cante Trompetele,2014-12-18
Spike,Lumea lui Paul,La treabă,2015-05-29
Nane,Plecat de acasă,CĂMINUL 1-2,2016-02-05
Grasu XXL,Curaj,Fără Filtru,2006-07-10
Ombladon,Hip Hop Romanesc,Hip Hop Romanesc,2015-04-04
B.U.G. Mafia,B.U.G. Mafia Prezinta Casa,Cine E Cu Noi,2002-02-20
Guess Who,De acasă,De acasă,2020-06-19
Spike,Lumea lui Paul,Litoral,2015-05-29
B.U.G. Mafia,8 Zile Din 7,8 Zile Din 7,2020-07-01
Nane,Plecat de acasă,$$$,2016-02-05
Grasu XXL,Drumul spre succes,Drumul spre succes,2015-03-23
Spike,Lumea lui Paul,Încerc,2015-05-29
Guesswho,Onoare,Onoare,2013-01-30
Parazitii,Arma Secreta,Antimilitie,2019-05-24
Spike,Lumea lui Paul,Rămâne scris,2015-05-29
Mitza,Tare Rău,Tare Rău,2019-05-13
Junky Zice,INTRUNA INTRUNA,INTRUNA INTRUNA,2018-07-23
Grasu XXL,Doamne Ajută!,Doamne Ajută!,2018-09-03
Cheloo,Sindromul Tourette,Vicii,2003
Grasu XXL,În Labirint,Spune-Mi Tot,2018-09-12
Spike,Lumea lui Paul,"Mamă, Mamă",2015-05-29
Grasu XXL,Drumul spre succes,Blanădeurs,2015-03-23
B.U.G. Mafia,"Viata Noastra, Vol. 1",Un 2 si trei de 0,2006-02-02
Guess Who,Un Anonim Celebru,Un Anonim Celebru,2017-05-16
Junky Zice,YES,YES,2019-10-16
Bitza,Sinuciderea unui inger,Aripi frante,2005
Tranda,CONSTANGELES 2,Dacă cerul,2015-10-09
Maximilian,"Blonde, Brunete (Tot Felu' De Fete)","Blonde, Brunete (Tot Felu' De Fete)",2015-08-07
Guess Who,Un Anonim Celebru,Stele,2017-05-16
Junky Zice,Ciudat,Ciudat,2018-05-22
Guess Who,Un Anonim Celebru - Live La Arenele Romane,Un Anonim Celebru - Live,2018-05-16
Alina Eremia,360,Îmi Dai Curaj,2017-11-01
Mitza,Născut La Revoluție,Nimicuri,2018-02-19
Guess Who,Timp,Timp,2018-06-01
Junky Zice,Hagi-Maradona-Pele In Balcani,Hagi-Maradona-Pele In Balcani,2018-03-22
Guess Who,Un Anonim Celebru,Cupidon,2017-05-16
Grasu XXL,Drumul spre succes,Tare Frate,2015-03-23
La Familia,Punct Și De La Capăt,Viață Bună,2003-07-19
Grasu XXL,Drumul spre succes,Victoria,2015-03-23
Spike,Propaganda,Manele,2018-11-08
Zhao,AmDa'N-am,AmDa'N-am,2016-06-21
Guess Who,Un Anonim Celebru - Live La Arenele Romane,Mă Faci Să Simt Că... - Live,2018-05-16
Zhao,Asasin,Asasin,2015-10-16
Maximilian,Câteva Gânduri,Câteva Gânduri,2015-04-03
Deliric,Deliric X Silent Strike,$Efu,2016-07-06
Nane,Plecat de acasă,Normal,2016-02-05
Guess Who,Un Anonim Celebru - Live La Arenele Romane,Fără Filtru | Flori Ilegale - Live,2018-05-16
Zhao,Aprindem Noaptea,Aprindem Noaptea,2016-03-29
Nane,Plecat de acasă,911,2016-02-05
Guess Who,Prea Curând,Prea Curând,2016-11-24
Tranda,CONSTANGELES 2,Toată lumea vrea,2015-10-09
Grasu XXL,Lumea Nouă,Lumea nouă,2017-02-21
Grasu XXL,Didaia (TraLaLa) [feat. Maximilian & Spike],Didaia (TraLaLa) [feat. Maximilian & Spike],2014-09-29
Guesswho,Tot Mai Sus,Decât Să Minți,2011-09-20
Grasu XXL,Deja Vu,Deja Vu,2013-09-18
Guesswho,Tot Mai Sus,Manifest,2011-09-20
Guesswho,Tot Mai Sus,Tot Mai Sus (feat. De Moga),2011-09-20
AMI,3 lucruri,3 lucruri,2016-02-12
Junky Zice,M1,DaDaDa,2015-06-29
Zhao,"Încă Unu' Şi-Am Plecat (feat. Mitza, Junky)",Încă Unu' Şi-Am Plecat,2015-11-01
Grasu XXL,Drumul spre succes,Dl. Destin,2015-03-23
MefX,Jasmin,Jasmin,2016-09-20
Junky Zice,"Nimeni, Niciodata (feat. Deliric)","Nimeni, Niciodata (feat. Deliric)",2013-06-07
Tranda,"Constangeles, Vol. 1",SxPB (feat. Grasu Xxl & Smiley),2014-02-26
Marwan,Marwan,ButterBombay,2014-02-24
Various Artists,This Is the Melbourne Sound,Jumanji,2013-05-31
Yellow Claw,Amsterdam Twerk Music,DJ Turn It Up,2013-10-15
Yowda,Shut Up (feat. Y.G.),Shut Up (feat. Y.G.),2012-11-07
Joel Fletcher,Afterdark,Afterdark,2013-06-20
The Notorious B.I.G.,Ready to Die (The Remaster),Warning - 2005 Remaster,1994-09-13
Nas,It Was Written,If I Ruled the World (Imagine That) (feat. Lauryn Hill),1996-07-02
Sleiman,Bomaye,Bomaye (feat. Livid & MellemFingaMuzik),2016-03-10
NODE,De Snakker,De Snakker,2017-03-17
Tyga,Rack City,Rack City,2011-01-01
Dr. Dre,2001,Forgot About Dre,1999-11-16
2Pac,All Eyez On Me,All Eyez On Me,1996-02-13
DVBBS,Tsunami,Tsunami - Radio Edit,2013-10-08
Martin Garrix,Animals,Animals - Original Mix,2013-10-08
Lloyd Banks,H.F.M. 2,"Beamer, Benz or Bentley",2010-11-29
Daddy Yankee,"Daddy Yankee ""Gasolina""",Gasolina,2005-01-01
Sean Paul,Dutty Rock,Get Busy,2002-11-12
Die Atzen,Disco Pogo,Disco Pogo - Atzen Musik Mix,2010-04-19
Various Artists,Dance Chart (Winter/Spring 2010),Skub Til Taget - Radio Edit,2010-02-01
Fedde Le Grand,Put Your Hands Up For Detroit,Put Your Hands Up for Detroit - Radio Edit,2006
Dada Life,Kick Out The Epic Motherf**ker,Kick Out The Epic Motherf**ker - Radio Edit,2012-01-01
Swizz Beatz,It's Me Snitches (Edited Version),It's Me Snitches,2007-01-01
Example,Changed The Way You Kiss Me,Changed The Way You Kiss Me - Radio Edit,2011-01-01
Far East Movement,Like a G6,Like A G6,2010-01-01
Specktors,Lågsus,Lågsus,2012-03-23
Busta Rhymes,It Ain't Safe No More. . .,I Know What You Want (feat. Flipmode Squad),2002-11-26
Snoop Dogg,R&G (Rhythm & Gangsta): The Masterpiece [Explicit Version],Drop It Like It's Hot,2004-01-01
50 Cent,Candy Shop (International Version),Candy Shop,2005-01-01
Knife Party,Rage Valley,Sleaze (feat. Mistajam),2012
,www.Electrobangers.com,Last Time (Knife Party Remix),
Jason Derulo,Talk Dirty (feat. 2 Chainz),Talk Dirty (feat. 2 Chainz),2013-08-02
Yellow Claw,Shotgun,Shotgun,2013-12-02
Marsal Ventura,Hot Diana (feat. Geena Corona),Hot Diana (feat. Geena Corona),2013-10-14
Anders Crawn,Big Fat Licorice Pipe,Big Fat Licorice Pipe - Radio Edit,2013-10-14
Sesto Sento,P.L.U.R.,Happy People Happy Music,2012-03-31
Niklas,CD1,Slem Pige,2012-11-19
